,loss,hydra_MSE,Payoff,val_loss,val_hydra_MSE,val_Payoff
1,0.0075576425597580175,0.011598384939134121,0.0035168675240129232,0.005122566944934427,0.008272103033959866,0.0019730536732822657
2,0.004913087332622554,0.00799593422561884,0.001830303925089538,0.0047150977272311465,0.007687821984291077,0.0017423660028725863
3,0.0046003544423509615,0.0075591024942696095,0.0016416364815086126,0.0045168096203267345,0.007420929614454508,0.001612702151760459
4,0.004380602440934497,0.007253430318087339,0.001507771317847073,0.004297584703300112,0.00711736548691988,0.001477797981351614
5,0.0042093055312856075,0.007015503477305174,0.0014030234888195992,0.00413915832728671,0.006899752654135227,0.001378558692522347
6,0.004080714708830598,0.00683684553951025,0.0013245476875454187,0.004013667756501567,0.006728492211550474,0.0012988438829779625
7,0.003989375934698691,0.006708937231451273,0.0012698279460892081,0.003928502610754439,0.006607569754123688,0.0012494272086769342
8,0.003927728230442677,0.0066214436665177345,0.0012340277899056673,0.003869700885314528,0.006526330020278692,0.0012130719842389226
9,0.003890071365353099,0.006567580625414848,0.0012125764042139053,0.0038364746844723563,0.006478887517005205,0.0011940572876483202
10,0.0038714966593190766,0.0065406146459281445,0.00120237423107028,0.003820721715825549,0.006456085480749607,0.0011853545438498259
