,loss,hydra_MSE,Payoff,val_loss,val_hydra_MSE,val_Payoff
1,0.11176231503604371,0.11176157742738724,0.08745257556438446,0.10674513540797763,0.10673808306455612,0.05403831973671913
2,0.10224957304898603,0.10225004702806473,0.05119168758392334,0.0969922333267,0.09698928892612457,0.046510014683008194
3,0.09235774725116329,0.0923590138554573,0.04462485760450363,0.0907261352803972,0.09072785079479218,0.0426507294178009
4,0.08412021022225603,0.08411972224712372,0.040553152561187744,0.08207634452184041,0.08207113295793533,0.03874265402555466
5,0.07448025328818662,0.07448031008243561,0.036089420318603516,0.07228995448085997,0.07228397578001022,0.034631360322237015
6,0.06346652854842905,0.06346504390239716,0.03094233199954033,0.06103790462878015,0.061035048216581345,0.02940347231924534
7,0.05402937452469343,0.054028917104005814,0.026583904400467873,0.053381486667527095,0.05338681489229202,0.025904202833771706
8,0.04739624780416489,0.04739611595869064,0.023748507723212242,0.04833167621029748,0.04832770675420761,0.023866960778832436
9,0.04279077265041846,0.04279043897986412,0.021888865157961845,0.0437833301530944,0.04378380626440048,0.021808013319969177
10,0.039334912682021106,0.039334483444690704,0.020538263022899628,0.03965187515815099,0.03965526819229126,0.02051939070224762
11,0.036437567796898475,0.03643724322319031,0.019469762220978737,0.03699823598861694,0.036998383700847626,0.019527753815054893
12,0.03390442090196374,0.033905357122421265,0.018597420305013657,0.034867374787727994,0.03486419469118118,0.018796708434820175
13,0.03181263211156115,0.03181219846010208,0.017957327887415886,0.032415849675072564,0.03241736814379692,0.018116826191544533
14,0.030362869089400328,0.030362443998456,0.017593786120414734,0.031249189839098187,0.031250350177288055,0.01786649040877819
15,0.029643780220364346,0.029643813148140907,0.017458606511354446,0.030755494738287394,0.03075869381427765,0.01778961904346943
16,0.05012524320461132,0.05012460798025131,0.024576200172305107,0.04909682090944714,0.04909907281398773,0.023767147213220596
17,0.044677713843775384,0.044676877558231354,0.02203061804175377,0.04399532115062078,0.04399601370096207,0.021492285653948784
18,0.04087462875136623,0.04087462276220322,0.02037128247320652,0.04187287294864655,0.041874874383211136,0.020368121564388275
19,0.03742051092010957,0.03741981089115143,0.018851377069950104,0.03788379994564586,0.037884920835494995,0.018732348456978798
20,0.03405485362410545,0.03405497223138809,0.017367983236908913,0.034054067858722475,0.03404902666807175,0.017569376155734062
21,0.03053685020311379,0.030537474900484085,0.015888074412941933,0.030939074977901247,0.03093988634645939,0.016009537503123283
22,0.02705126380353798,0.027051333338022232,0.01441427692770958,0.027636613658401702,0.027639197185635567,0.014626552350819111
23,0.02370775399443544,0.02370770461857319,0.013068514876067638,0.02382729573117362,0.023825839161872864,0.013120359741151333
24,0.020682014005051718,0.020682044327259064,0.011859170161187649,0.021250517850452,0.02124764770269394,0.011893142014741898
25,0.018158274770077365,0.01815832033753395,0.010854206047952175,0.018657896418703926,0.018660767003893852,0.010988679714500904
26,0.016170812428034382,0.01617046631872654,0.010064570233225822,0.01669818089273241,0.016698341816663742,0.01025019958615303
27,0.014722219091561841,0.014722189866006374,0.00952068343758583,0.015324379442135492,0.015322880819439888,0.009801383130252361
28,0.013779517518793359,0.013778998516499996,0.00919275637716055,0.01447772186514404,0.01447691023349762,0.009519556537270546
29,0.013243157190323611,0.013242930173873901,0.009030352346599102,0.014046775368352731,0.014045528136193752,0.009430767968297005
30,0.013002743239719191,0.013002797961235046,0.008976698853075504,0.013889964360660976,0.01388959027826786,0.009395926259458065
31,0.03273877056174808,0.03273886442184448,0.01620371639728546,0.03262371271848678,0.03263108432292938,0.016221782192587852
32,0.028195804654889637,0.028195759281516075,0.014378598891198635,0.027690843031803768,0.027690274640917778,0.01405233796685934
33,0.02436554690864351,0.02436545491218567,0.012803050689399242,0.02500998734070195,0.02501116879284382,0.0130685493350029
34,0.021091095233405077,0.021091246977448463,0.011441647075116634,0.020906564960545965,0.020903706550598145,0.011391488835215569
35,0.018290667086287783,0.018290668725967407,0.010257537476718426,0.0190684549546904,0.019066669046878815,0.010524678975343704
36,0.015867761529338213,0.01586763747036457,0.009185767732560635,0.01619840677248107,0.01619969680905342,0.009452358819544315
37,0.013906719879346129,0.013906759209930897,0.008298609405755997,0.014341899913549424,0.0143428361043334,0.008536126464605331
38,0.01233044191620968,0.012330304831266403,0.007563591003417969,0.012789524220758014,0.01278730295598507,0.007760589476674795
39,0.0110778214144302,0.011077933944761753,0.006970710586756468,0.011558956051535077,0.01155947893857956,0.007229417096823454
40,0.010127046727011969,0.010126756504178047,0.006523109972476959,0.01057176661805974,0.010571558028459549,0.00665234075859189
41,0.009419842331148225,0.009420046582818031,0.006192512344568968,0.009884816009468502,0.009885739535093307,0.006347665563225746
42,0.008924706949376398,0.008924487978219986,0.005969457793980837,0.009429573290546734,0.00942933652549982,0.0062440065667033195
43,0.008601263417984232,0.008601438254117966,0.005836981814354658,0.009126216020849016,0.009127001278102398,0.006106287706643343
44,0.00841146156075928,0.008411417715251446,0.005773844663053751,0.00896680062496,0.00896398350596428,0.006064294837415218
45,0.008322705920482123,0.00832255370914936,0.005750835407525301,0.008906890495287048,0.00890714768320322,0.006056076381355524
46,0.019106247976532688,0.01910599134862423,0.00985027477145195,0.019843685752153395,0.01984303817152977,0.010214352048933506
47,0.016706055015215167,0.01670599728822708,0.009050438180565834,0.016707425026595592,0.01670496165752411,0.009219985455274582
48,0.01445808739055086,0.014457941055297852,0.008111298084259033,0.014661304958992535,0.014660990796983242,0.0081802261993289
49,0.012769130965809764,0.012769212946295738,0.007364248391240835,0.013233467157019509,0.013232127763330936,0.007549508940428495
