,Nash
292,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.78865482, 0.0, 0.21134518], [0.0, 0.57802042, 0.42197958]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.78865482, 0.0, 0.21134518], [0.0, 0.57802042, 0.42197958]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.78865482, 0.0, 0.21134518], [0.0, 0.57802042, 0.42197958]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
293,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.78747548, 0.21252452], [0.0, 0.15484574, 0.84515426]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.78747548, 0.21252452], [0.0, 0.15484574, 0.84515426]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.78747548, 0.21252452], [0.0, 0.15484574, 0.84515426]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
294,"[([0.96551738, 0.0, 0.03448262], [0.0, 0.29087864, 0.70912136]), ([0.96551738, 0.0, 0.03448262], [0.0, 0.29087864, 0.70912136]), ([0.96551738, 0.0, 0.03448262], [0.0, 0.29087864, 0.70912136]), ([0.96551738, 0.0, 0.03448262], [0.0, 0.29087864, 0.70912136]), ([0.96551738, 0.0, 0.03448262], [0.0, 0.29087864, 0.70912136]), ([0.96551738, 0.0, 0.03448262], [0.0, 0.29087864, 0.70912136]), ([0.96551738, 0.0, 0.03448262], [0.0, 0.29087864, 0.70912136]), ([0.96551738, 0.0, 0.03448262], [0.0, 0.29087864, 0.70912136]), ([0.96551738, 0.0, 0.03448262], [0.0, 0.29087864, 0.70912136]), ([0.96551738, 0.0, 0.03448262], [0.0, 0.29087864, 0.70912136])]"
295,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
296,"[([0.33799755, 0.66200245, 0.0], [0.27310759, 0.0, 0.72689241]), ([0.33799755, 0.66200245, 0.0], [0.27310759, 0.0, 0.72689241]), ([0.33799755, 0.66200245, 0.0], [0.27310759, 0.0, 0.72689241]), ([0.33799755, 0.66200245, 0.0], [0.27310759, 0.0, 0.72689241]), ([0.33799755, 0.66200245, 0.0], [0.27310759, 0.0, 0.72689241]), ([0.33799755, 0.66200245, 0.0], [0.27310759, 0.0, 0.72689241]), ([0.33799755, 0.66200245, 0.0], [0.27310759, 0.0, 0.72689241]), ([0.33799755, 0.66200245, 0.0], [0.27310759, 0.0, 0.72689241]), ([0.33799755, 0.66200245, 0.0], [0.27310759, 0.0, 0.72689241]), ([0.33799755, 0.66200245, 0.0], [0.27310759, 0.0, 0.72689241])]"
297,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.06141393, 0.93858607, 0.0], [0.93856013, 0.06143987, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.06141393, 0.93858607, 0.0], [0.93856013, 0.06143987, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.06141393, 0.93858607, 0.0], [0.93856013, 0.06143987, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
298,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.76614932, 0.0, 0.23385068], [0.0211231, 0.9788769, 0.0]), ([0.0, 0.87705394, 0.12294606], [0.66005937, 0.0, 0.33994063]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.76614932, 0.0, 0.23385068], [0.0211231, 0.9788769, 0.0]), ([0.0, 0.87705394, 0.12294606], [0.66005937, 0.0, 0.33994063])]"
299,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
300,"[([0.0, 0.95016476, 0.04983524], [0.41899343, 0.58100657, 0.0]), ([0.0, 0.95016476, 0.04983524], [0.41899343, 0.58100657, 0.0]), ([0.0, 0.95016476, 0.04983524], [0.41899343, 0.58100657, 0.0]), ([0.0, 0.95016476, 0.04983524], [0.41899343, 0.58100657, 0.0]), ([0.0, 0.95016476, 0.04983524], [0.41899343, 0.58100657, 0.0]), ([0.0, 0.95016476, 0.04983524], [0.41899343, 0.58100657, 0.0]), ([0.0, 0.95016476, 0.04983524], [0.41899343, 0.58100657, 0.0]), ([0.0, 0.95016476, 0.04983524], [0.41899343, 0.58100657, 0.0]), ([0.0, 0.95016476, 0.04983524], [0.41899343, 0.58100657, 0.0]), ([0.0, 0.95016476, 0.04983524], [0.41899343, 0.58100657, 0.0])]"
301,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
302,"[([0.82586868, 0.0, 0.17413132], [0.4624783, 0.5375217, 0.0]), ([0.0, 0.2993265, 0.7006735], [0.0990747046, 5.91246365e-17, 0.900925295]), ([0.6930341, 0.08467197, 0.22229393], [0.33198759, 0.30341511, 0.3645973]), ([0.82586868, 0.0, 0.17413132], [0.4624783, 0.5375217, 0.0]), ([0.0, 0.2993265, 0.7006735], [0.0990747046, 5.91246365e-17, 0.900925295]), ([0.6930341, 0.08467197, 0.22229393], [0.33198759, 0.30341511, 0.3645973]), ([0.82586868, 0.0, 0.17413132], [0.4624783, 0.5375217, 0.0]), ([0.0, 0.2993265, 0.7006735], [0.0990747046, 5.91246365e-17, 0.900925295]), ([0.6930341, 0.08467197, 0.22229393], [0.33198759, 0.30341511, 0.3645973]), ([0.82586868, 0.0, 0.17413132], [0.4624783, 0.5375217, 0.0])]"
303,"[([0.0, 0.51464448, 0.48535552], [0.66146913, 0.33853087, 0.0]), ([0.0, 0.51464448, 0.48535552], [0.66146913, 0.33853087, 0.0]), ([0.0, 0.51464448, 0.48535552], [0.66146913, 0.33853087, 0.0]), ([0.0, 0.51464448, 0.48535552], [0.66146913, 0.33853087, 0.0]), ([0.0, 0.51464448, 0.48535552], [0.66146913, 0.33853087, 0.0]), ([0.0, 0.51464448, 0.48535552], [0.66146913, 0.33853087, 0.0]), ([0.0, 0.51464448, 0.48535552], [0.66146913, 0.33853087, 0.0]), ([0.0, 0.51464448, 0.48535552], [0.66146913, 0.33853087, 0.0]), ([0.0, 0.51464448, 0.48535552], [0.66146913, 0.33853087, 0.0]), ([0.0, 0.51464448, 0.48535552], [0.66146913, 0.33853087, 0.0])]"
304,"[([0.0, 0.10901069, 0.89098931], [0.63516888, 0.36483112, 0.0]), ([0.0, 0.10901069, 0.89098931], [0.63516888, 0.36483112, 0.0]), ([0.0, 0.10901069, 0.89098931], [0.63516888, 0.36483112, 0.0]), ([0.0, 0.10901069, 0.89098931], [0.63516888, 0.36483112, 0.0]), ([0.0, 0.10901069, 0.89098931], [0.63516888, 0.36483112, 0.0]), ([0.0, 0.10901069, 0.89098931], [0.63516888, 0.36483112, 0.0]), ([0.0, 0.10901069, 0.89098931], [0.63516888, 0.36483112, 0.0]), ([0.0, 0.10901069, 0.89098931], [0.63516888, 0.36483112, 0.0]), ([0.0, 0.10901069, 0.89098931], [0.63516888, 0.36483112, 0.0]), ([0.0, 0.10901069, 0.89098931], [0.63516888, 0.36483112, 0.0])]"
305,"[([0.69947125, 0.30052875, 0.0], [0.08432717, 0.0, 0.91567283]), ([0.69947125, 0.30052875, 0.0], [0.08432717, 0.0, 0.91567283]), ([0.69947125, 0.30052875, 0.0], [0.08432717, 0.0, 0.91567283]), ([0.69947125, 0.30052875, 0.0], [0.08432717, 0.0, 0.91567283]), ([0.69947125, 0.30052875, 0.0], [0.08432717, 0.0, 0.91567283]), ([0.69947125, 0.30052875, 0.0], [0.08432717, 0.0, 0.91567283]), ([0.69947125, 0.30052875, 0.0], [0.08432717, 0.0, 0.91567283]), ([0.69947125, 0.30052875, 0.0], [0.08432717, 0.0, 0.91567283]), ([0.69947125, 0.30052875, 0.0], [0.08432717, 0.0, 0.91567283]), ([0.69947125, 0.30052875, 0.0], [0.08432717, 0.0, 0.91567283])]"
306,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.25545849, 0.74454151], [0.27652422, 0.72347578, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.25545849, 0.74454151], [0.27652422, 0.72347578, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.25545849, 0.74454151], [0.27652422, 0.72347578, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
307,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.31604982, 0.68395018], [0.69134969, 0.0, 0.30865031]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.31604982, 0.68395018], [0.69134969, 0.0, 0.30865031]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.31604982, 0.68395018], [0.69134969, 0.0, 0.30865031]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
308,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
309,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.23655012, 0.76344988, 0.0], [0.27152818, 0.72847182, 0.0]), ([0.0, 0.40602495, 0.59397505], [0.69096846, 0.30903154, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.23655012, 0.76344988, 0.0], [0.27152818, 0.72847182, 0.0]), ([0.0, 0.40602495, 0.59397505], [0.69096846, 0.30903154, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.23655012, 0.76344988, 0.0], [0.27152818, 0.72847182, 0.0]), ([0.0, 0.40602495, 0.59397505], [0.69096846, 0.30903154, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
310,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
311,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.97211539, 0.02788461, 0.0], [0.50145237, 0.0, 0.49854763]), ([0.0, 0.11865214, 0.88134786], [0.57614049, 0.0, 0.42385951]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.97211539, 0.02788461, 0.0], [0.50145237, 0.0, 0.49854763]), ([0.0, 0.11865214, 0.88134786], [0.57614049, 0.0, 0.42385951]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.97211539, 0.02788461, 0.0], [0.50145237, 0.0, 0.49854763]), ([0.0, 0.11865214, 0.88134786], [0.57614049, 0.0, 0.42385951]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
312,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
313,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.20493479, 0.0, 0.79506521], [0.71309745, 0.28690255, 0.0]), ([0.0, 0.82749105, 0.17250895], [0.47244898, 0.0, 0.52755102]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.20493479, 0.0, 0.79506521], [0.71309745, 0.28690255, 0.0]), ([0.0, 0.82749105, 0.17250895], [0.47244898, 0.0, 0.52755102])]"
314,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
315,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
316,"[([0.30181931, 0.69818069, 0.0], [0.24906509, 0.75093491, 0.0]), ([0.30181931, 0.69818069, 0.0], [0.24906509, 0.75093491, 0.0]), ([0.30181931, 0.69818069, 0.0], [0.24906509, 0.75093491, 0.0]), ([0.30181931, 0.69818069, 0.0], [0.24906509, 0.75093491, 0.0]), ([0.30181931, 0.69818069, 0.0], [0.24906509, 0.75093491, 0.0]), ([0.30181931, 0.69818069, 0.0], [0.24906509, 0.75093491, 0.0]), ([0.30181931, 0.69818069, 0.0], [0.24906509, 0.75093491, 0.0]), ([0.30181931, 0.69818069, 0.0], [0.24906509, 0.75093491, 0.0]), ([0.30181931, 0.69818069, 0.0], [0.24906509, 0.75093491, 0.0]), ([0.30181931, 0.69818069, 0.0], [0.24906509, 0.75093491, 0.0])]"
317,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.42377562, 0.0, 0.57622438], [0.60914922, 0.39085078, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.42377562, 0.0, 0.57622438], [0.60914922, 0.39085078, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.42377562, 0.0, 0.57622438], [0.60914922, 0.39085078, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
318,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
319,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
320,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
321,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.26051894, 0.73948106, 0.0], [0.01702575, 0.0, 0.98297425]), ([0.0, 0.37858747, 0.62141253], [0.43008661, 0.56991339, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.26051894, 0.73948106, 0.0], [0.01702575, 0.0, 0.98297425]), ([0.0, 0.37858747, 0.62141253], [0.43008661, 0.56991339, 0.0])]"
322,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
323,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
324,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
325,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.41346263, 0.58653737], [0.0, 0.60138095, 0.39861905]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.41346263, 0.58653737], [0.0, 0.60138095, 0.39861905]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.41346263, 0.58653737], [0.0, 0.60138095, 0.39861905]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
326,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
327,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
328,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
329,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.2978015, 0.7021985], [0.38926178, 0.61073822, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.2978015, 0.7021985], [0.38926178, 0.61073822, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.2978015, 0.7021985], [0.38926178, 0.61073822, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
330,"[([0.36422688, 0.62785798, 0.00791514], [0.30371056, 0.31541199, 0.38087745]), ([0.36422688, 0.62785798, 0.00791514], [0.30371056, 0.31541199, 0.38087745]), ([0.36422688, 0.62785798, 0.00791514], [0.30371056, 0.31541199, 0.38087745]), ([0.36422688, 0.62785798, 0.00791514], [0.30371056, 0.31541199, 0.38087745]), ([0.36422688, 0.62785798, 0.00791514], [0.30371056, 0.31541199, 0.38087745]), ([0.36422688, 0.62785798, 0.00791514], [0.30371056, 0.31541199, 0.38087745]), ([0.36422688, 0.62785798, 0.00791514], [0.30371056, 0.31541199, 0.38087745]), ([0.36422688, 0.62785798, 0.00791514], [0.30371056, 0.31541199, 0.38087745]), ([0.36422688, 0.62785798, 0.00791514], [0.30371056, 0.31541199, 0.38087745]), ([0.36422688, 0.62785798, 0.00791514], [0.30371056, 0.31541199, 0.38087745])]"
