,MSE,PayoffLoss,loss,val_MSE,val_PayoffLoss,val_loss
242,0.00438055582344532,0.0015093402471393347,0.026284475598791067,0.0053963372483849525,0.0018660586792975664,0.032398111093394896
243,0.004525772761553526,0.00155656470451504,0.027158488886145984,0.00479178037494421,0.001636744593270123,0.028811271450361785
244,0.004389754496514797,0.0015131772961467505,0.026342690076722818,0.0051352838054299355,0.0017704102210700512,0.030756891034981783
245,0.004500682465732098,0.0015453099040314555,0.027006778597481112,0.00444602407515049,0.0015203609364107251,0.02671244869039339
246,0.004391331225633621,0.0015076736453920603,0.02634464575157446,0.004685522522777319,0.001596652902662754,0.02813696466298664
247,0.004403066821396351,0.0015138952294364572,0.02641691595561364,0.004585430026054382,0.0015902405139058828,0.02750496948589297
248,0.004469874314963818,0.0015420757699757814,0.026820932397421667,0.004856831859797239,0.0016844462370499969,0.02915196651518345
249,0.004376057535409927,0.0015084926271811128,0.026255987350730335,0.004759838804602623,0.0016266023740172386,0.028545393142279458
250,0.004384462721645832,0.0015133789274841547,0.026308492675073007,0.005102836526930332,0.0017422355012968183,0.030597739483679044
251,0.004437581170350313,0.0015274795005097985,0.026624657052054124,0.005193444434553385,0.0017953482456505299,0.031118124377376894
252,0.004441873170435429,0.0015261266380548477,0.026649351868384026,0.005325215868651867,0.0018140607280656695,0.03196996839256848
253,0.004495630972087383,0.0015453954692929983,0.026973331478062797,0.005225773900747299,0.0017990224296227098,0.03136381888038972
254,0.004495583940297365,0.0015459979185834527,0.02696929316660937,0.005217553116381168,0.0018105143681168556,0.03133221719282515
255,0.0044629620388150215,0.0015324532287195325,0.0267813671730897,0.004652097355574369,0.0016028220998123288,0.0279282534504638
256,0.004334800876677036,0.0014914642088115215,0.026017674289819073,0.004404779523611069,0.0015315586933866143,0.02640635765720816
257,0.004448705352842808,0.001534756156615913,0.026693281308517735,0.004961326252669096,0.0017184218158945441,0.029768385614893016
258,0.004394437652081251,0.0015119976596906781,0.026366811299324035,0.004759503062814474,0.0016362514579668641,0.02850370788644342
259,0.0044410028494894505,0.0015255184844136238,0.02664770526447717,0.004688935820013285,0.0016115843318402767,0.028144091887859737
260,0.004437399096786976,0.0015310269081965089,0.026607564759955685,0.005312142428010702,0.001836241688579321,0.03183060994008008
261,0.0044411467388272285,0.0015309202717617154,0.02664691070160445,0.004468829836696386,0.0015395607333630323,0.026779780243775423
262,0.004452534951269627,0.001538403332233429,0.0267171756884631,0.0048300777561962605,0.0016574673354625702,0.02898460326194763
263,0.004438493866473436,0.0015314235351979733,0.026636473614678663,0.004763743374496698,0.0016331103397533298,0.028600615481068105
264,0.004423592705279589,0.0015265143010765314,0.026543259049338453,0.0047886427491903305,0.001649768091738224,0.02875938559367376
265,0.004339509643614292,0.001500044483691454,0.026036767895782693,0.004891656339168549,0.0016556358896195889,0.029367538157981984
